"hour fitness"	"Hour Fitness"	"Leisure:Sporting Events"
"house home"	"House&Home"	"Household"
"house of blues"	"House of Blues"	"Leisure:Entertaining"
"household benefi online pmt"	"Household Bank"	"Bills:Credit Card Payment"
"household credit online pmt"	"Household Bank"	"Bills:Credit Card Payment"
"houston s restaurant"	"Houston's restaurant"	"Food:Dining out"
"hudson news"	"Hudson News"	"Vacation:Travel"
"hyatt hotel"	"Hyatt"	"Vacation:Lodging"
"hyatt regency"	"Hyatt"	"Vacation:Lodging"
"hyvee"	"Hy-Vee"	"Healthcare"
"i hop"	"Ihop"	"Food:Dining out"
"ihop"	"Ihop"	"Food:Dining out"
"ikea"	"Ikea"	"Household"
"india grocers"	"India grocers"	"Food:Groceries"
"ingles store"	"The ingles store"	"Food:Groceries"
"inter bus mach"	"Inter Bus Mach"	"Vacation:Travel"
"interest"	"Interest"	"Investment Income:Interest"
"internet transfer"	"Internet transfer"	"Bank Charges:Credit Card Payment"
"j crew"	"J.Crew"	"Clothing"
"jack in the box"	"Jack in the box"	"Food:Dining out"
"jamba juice"	"Jamba Juice"	"Food:Dining out"
"jason s deli"	"Jason's deli"	"Food:Dining out"
"jasons deli"	"Jason's deli"	"Food:Dining out"
"jc penney"	"JC penney"	"Clothing"
"jcpenney catalog"	"JC penney"	"Clothing"
"jcpenney"	"JC penney"	"Clothing"
"jeanie deposit"	"Jeanie deposit"	"Investment Income:Interest"
"jeanie transfer"	"Jeanie transfer"	"Bank Charges:Credit Card Payment"
"jeanie withdrawal"	"Jeanie withdrawal"	"Bank Charges:Credit Card Payment"
"jewel food"	"Îewel-Osco"	"Food:Groceries"
"jewel osco"	"Îewel-Osco"	"Food:Groceries"
"jiffy lube"	"Jiffy Lube"	"Automobile:Maintenance"
"joann etc"	"Joann"	"Leisure:Hobbies"
"joann fabric"	"Joann"	"Leisure:Hobbies"
"joe s crab"	"Joe's Crab"	"Food:Dining out"
"johnny rockets"	"Johnny Rockets"	"Food:Dining out"
"just for feet"	"Just for feet"	"Clothing"
"kaiser med"	"Kaiser"	"Healthcare"
"kaiser perm"	"Kaiser"	"Healthcare"
